宁都县城郊卫生院土围诊所,NDXCJWSYTWZS,DWI00023562
泗沥镇桃源村卫生所,LZTYCWSS,DWI00024223
彭泽县双龙大药房健康店,PZXSLDYFJKD,DWI00024261
瑞金市黄柏乡绿草湖药店*,RJSHBXLCHYD*,DWI00024281
江西弘源药业有限公司,JXHYYYYXGS,DWI00024289
塘湾镇高坂村卫生所,TWZGCWSS,DWI00024292
信丰友好大药房正平店,XFYHDYFZPD,DWI00024303
崇义县思顺卫生院,CYXSSWSY,DWI00024307
都昌县蔡岭光明大药房,DCXCLGMDYF,DWI00024320
大桥村第八卫生所,DQCDBWSS,DWI00024321
信丰康之源大药房,XFKZYDYF,DWI00024323
建阳市童游街道曼头山社区卫生服务站,JYSTYJDMTSSQWSFWZ,DWI00024346
东固乡古竹村卫生所,DGXGZCWSS,DWI00024347
东固乡东固村卫生所,DGXDGCWSS,DWI00024348
东固畲族乡樟洲村卫生所,DGZXZZCWSS,DWI00024355
江西鸿福医药发展有限公司,JXHFYYFZYXGS,DWI00024367
艾城镇鹊湖村卫生所,ACZQHCWSS,DWI00024375
九江市庐山区东成人民平价大药房,JJSLSQDCRMPJDYF,DWI00024379
瑞金市合龙乡卫生院,RJSHLXWSY,DWI00024384
万年县开心人大药房有限公司城中分店,WNXKXRDYFYXGSCZFD,DWI00024385
小康城卫生所四所(钱国华),XKCWSSSS(QGH),DWI00024389
经楼镇中林村卫生所,JLZZLCWSS,DWI00019691
余干县医药公司三塘药店*,YGXYYGSSTYD*,DWI00019695
江西理工大学医院,JXLGDXYY,DWI00019837
城北街办张家山村卫生所,CBJBZJSCWSS,DWI00019861
宁都县良和药店,NDXLHYD,DWI00019868
大余县联邦大药房有限公司,DYXLBDYFYXGS,DWI00019885
万载县康乐街道杨连村卫生所,WZXKLJDYLCWSS,DWI00020070
万载县三兴镇红旗村卫生所,WZXSXZHQCWSS,DWI00020189
甘棠街道柴桑社区卫生服务站,GTJDCSSQWSFWZ,DWI00020217
于都县岭背镇建平大药房,YDXLBZJPDYF,DWI00020228
坪湖卫生所,PHWSS,DWI00020264
弋阳县南岩镇水南村郑建峰卫生室,YXNYZSNCZJFWSS,DWI00020274
石城县珠坑乡卫生院,SCXZKXWSY,DWI00020278
江西康力药品物流有限公司(聂磊),JXKLYPWLYXGS(NL),DWI00020311
长丰村卫生所余福喜诊室,CFCWSSYFXZS,DWI00020403
高安市春天大药房,GASCTDYF,DWI00020465
周坂村卫生所袁新兵诊室,ZCWSSYXBZS,DWI00020506
河西村卫生所邓望金诊室,HXCWSSDWJZS,DWI00020533
观巢镇观巢村第二卫生所,GCZGCCDEWSS,DWI00020584
东山街办上坪村刘明维卫生所,DSJBSPCLMWWSS,DWI00020587
鄱阳县百信平价药房,YXBXPJYF,DWI00020593
周义成诊所,ZYCZS,DWI00020597
宁都县长胜镇康民药店,NDXCSZKMYD,DWI00020600
谢发君博爱诊所,XFJBAZS,DWI00020653
寻乌县项山卫生院,XWXXSWSY,DWI00020682
老城镇上洲村卫生所,LCZSZCWSS,DWI00020685
上饶县为民大药房,SRXWMDYF,DWI00020756
余干县丽华药房*,YGXLHYF*,DWI00020799
崇义县横水卫生院,CYXHSWSY,DWI00020810
黄龙镇黄龙村李福园卫生所,HLZHLCLFYWSS,DWI00020818
上饶县为民大药房广场店,SRXWMDYFGCD,DWI00020823
吉潭镇榜溪村第一卫生所,JTZBXCDYWSS,DWI00020824
崇义县乐洞卫生院,CYXLDWSY,DWI00020843
关田镇下关村卫生所,GTZXGCWSS,DWI00020847
崇义县关田万生药店,CYXGTWSYD,DWI00020851
关田镇镜尾村卫生所,GTZJWCWSS,DWI00020884
文英乡上塔村第二卫生所,WYXSTCDEWSS,DWI00020907
崇义县横水镇萝卜巷村卫生所,CYXHSZLBXCWSS,DWI00020941
崇义县上堡乡传生药店,CYXSBXCSYD,DWI00020964
里心镇上里村卫生所,LXZSLCWSS,DWI00020971
宁都县田埠乡武里村卫生所(三),NDXTBXWLCWSS(S),DWI00020998
安远县欣山镇同仁大药房,AYXXSZTRDYF,DWI00021015
上栗县百草堂大药房,SLXBCTDYF,DWI00021018
屏山村卫生室(陈敏红),PSCWSS(CMH),DWI00021099
兴隆村卫生所(温昌兴),XLCWSS(WCX),DWI00021101
石城县小姑卫生院,SCXXGWSY,DWI00021104
石城县小松镇宏茂药店(停用),SCXXSZHMYD(TY),DWI00021117
石城县小松镇泰康药店,SCXXSZTKYD,DWI00021123
庙前村卫生所,MQCWSS,DWI00021147
屏山村卫生室(陈式忠),PSCWSS(CSZ),DWI00021157
潭城乡舍陂村卫生室,TCXSCWSS,DWI00021192
永丰县坑田镇卫生院,YFXKTZWSY,DWI00021196
石马镇居委会卫生室一所,SMZJWHWSSYS,DWI00021210
宜丰县九九红大药房有限责任公司二部,YFXJJHDYFYXZRGSEB,DWI00021259
寻乌县丹溪卫生院,XWXDXWSY,DWI00021280
上饶市信州区聚德堂药房,SRSXZQJDTYF,DWI00021302
大阿镇大阿村第一卫生所(肖炼生),DAZDACDYWSS(XLS),DWI00021311
大阿镇明星村第二卫生所,DAZMXCDEWSS,DWI00021312
西牛镇黄泥村第六卫生所,XNZHNCDLWSS,DWI00021318
大阿镇金星村第一卫生所,DAZJXCDYWSS,DWI00021326
永丰县潭头乡卫生院,YFXTTXWSY,DWI00021330
上清镇长庆村卫生室祝样根医疗点,SQZCQCWSSZYGYLD,DWI00021344
奉化市东云翔药品零售有限公司,FHSDYXYPLSYXGS,DWI00021350
上饶市康泰药店(停用),SRSKTYD(TY),DWI00021378
泰和县澄江镇官溪村卫生所,THXCJZGXCWSS,DWI00021381
三坊乡罗坊村卫生室,SFXLFCWSS,DWI00021383
吉安市吉州区九九红大药房,JASJZQJJHDYF,DWI00021403
吉安市吉州区创天平价药房,JASJZQCTPJYF,DWI00021412
信丰县正平民众药房,XFXZPMZYF,DWI00021439
宁化县何屋村卫生所,NHXHWCWSS,DWI00021445
分宜袁茹芬内科诊所,FYYRFNKZS,DWI00021450
邹爱平诊所,ZAPZS,DWI00021486
宁化县江头村卫生所*,NHXJTCWSS*,DWI00021506
正平镇九渡村第一卫生所(朱润生),ZPZJDCDYWSS(ZRS),DWI00021508
安福县洋门卫生院,AFXYMWSY,DWI00021515
高阜卫生院(方海顺),GFWSY(FHS),DWI00021546
鹤城镇西郊卫生所（林任明）,HCZXJWSSLRM,DWI00021550
乌石镇长源村卫生所（黄龙平）,WSZCYCWSSHLP,DWI00021559
溪口镇溪口村卫生所,XKZXKCWSS,DWI00021569
文坊镇文坊村郑家卫生室,WFZWFCZJWSS,DWI00021589
承容诊所,CRZS,DWI00021606
东里村龙家卫生室,DLCLJWSS,DWI00021635
永修县白槎药店,YXXBYD,DWI00021638
熊屹生诊所,XYSZS,DWI00021648
大阿镇光明村第二卫生所,DAZGMCDEWSS,DWI00021649
资溪县人民医院(邓火生),ZXXRMYY(DHS),DWI00021680
鹤城镇大觉山卫生所(丁惠安),HCZDJSWSS(DHA),DWI00021681
鹤城镇沙苑村卫生所(汤勇),HCZSYCWSS(TY),DWI00021691
鹤城镇沙洞卫生所(项泉贵),HCZSDWSS(XQG),DWI00021693
师鲁民诊所(师鲁民),SLMZS(SLM),DWI00021702
高阜镇溪南村卫生所(卢日辉),GFZXNCWSS(LRH),DWI00021716
万载县高村镇卫生院锦源门诊,WZXGCZWSYJYMZ,DWI00021722
萍乡经济开发区董绍泉内科诊所,PXJJKFQDSQNKZS,DWI00021724
上粟县赤山镇仁济大药房,SSXCSZRJDYF,DWI00021725
江西盛和医药连锁有限公司吉州阳明店,JXSHYYLSYXGSJZYMD,DWI00021734
袁州区肖瑞华诊所,YZQXRHZS,DWI00021748
江西信仁宜春医药有限公司三阳药店,JXXRYCYYYXGSSYYD,DWI00021750
大众药房浔东店,DZYFDD,DWI00021773
北门村卫生所(毛首道),BMCWSS(MSD),DWI00021802
会昌县延伸街吉泰大药房,HCXYSJJTDYF,DWI00021825
涂埠镇涂埠村卫生所南津窑分所,TBZTBCWSSNJYFS,DWI00021836
景德镇市健康人大药房,JDZSJKRDYF,DWI00021894
寻乌县留车中心卫生院,XWXLCZXWSY,DWI00021902
高川村桥头卫生室,GCCQTWSS,DWI00021915
定南大众医疗综合门诊部,DNDZYLZHMZB,DWI00021943
上犹县结核病防治所,SYXJHBFZS,DWI00021949
江西宝盛医药有限公司,JXBSYYYXGS,DWI00021951
新危村卫生所,XWCWSS,DWI00021974
江西盛和医药连锁有限公司永丰店,JXSHYYLSYXGSYFD,DWI00022005
江西盛和医药连锁有限公司吉水惠民店,JXSHYYLSYXGSJSHMD,DWI00022006
江西盛和医药连锁有限公司吉州广场店,JXSHYYLSYXGSJZGCD,DWI00022017
万载县人民医院第三门诊,WZXRMYYDSMZ,DWI00024396
广丰县鑫之源大药房,GFXZYDYF,DWI00024406
于都县葛坳乡葛坳圩中和堂药房,YDXGXGZHTYF,DWI00024409
樟树市惠民大药房,ZSSHMDYF,DWI00024415
赣州新华医院,GZXHYY,DWI00024425
赣州经济技术开发区黄金岭街道办事处金星村卫生所,GZJJJSKFQHJLJDBSCJXCWSS,DWI00024427
建阳市潭城街道西门社区居委委会员医务室,JYSTCJDXMSQJWWHYYWS,DWI00024433
新田镇新田村第四卫生所,XTZXTCDSWSS,DWI00024442
九江人人乐大药房沙河店,JJRRLDYFSHD,DWI00024455
上饶县煌固镇李冬仙药店,SRXHGZLDXYD,DWI00024464
丽水市迎春药店,LSSYCYD,DWI00024467
新陂乡新陂村卫生所,XXXCWSS,DWI00024477
新陂乡板塘村卫生所,XXBTCWSS,DWI00024482
弋阳县南岩镇林谓生诊所,YXNYZLWSZS,DWI00024497
袁州环城北路诊所,YZHCBLZS,DWI00024498
永丰县皮肤病院综合门诊部,YFXPFBYZHMZB,DWI00024511
樟树市临江镇中心卫生院,ZSSLJZZXWSY,DWI00024512
江西省新余市医药总公司新庆余堂连锁药店河下分店,JXSXYSYYZGSXQYTLSYDHXFD,DWI00024514
白石村卫生所(吴冬桂),BSCWSS(WDG),DWI00024539
黄陂镇黄陂村卫生所(六),HZHCWSS(L),DWI00024553
崇义县地矿局门诊,CYXDKJMZ,DWI00024554
丰城市福康大药房,FCSFKDYF,DWI00024555
内良乡内良村王应缙卫生所,NLXNLCWYWSS,DWI00024569
新城镇新城村卫生所,XCZXCCWSS,DWI00024584
江西新元通医药有限公司,JXXYTYYYXGS,DWI00024596
信丰金鸡华仁康大药房,XFJJHRKDYF,DWI00024606
店前村卫生所(朱经保),DQCWSS(ZJB),DWI00024607
横路乡白杨村卫生所,HLXBYCWSS,DWI00024610
江西赣鑫医药有限公司,JXGYYYXGS,DWI00024626
南城县仁誉堂大药房,NCXRYTDYF,DWI00024628
鄱阳县朱艳根药店,YXZYGYD,DWI00024632
乐平市平民大药房,LPSPMDYF,DWI00024634
众埠河东村卫生所,ZBHDCWSS,DWI00024656
众埠方家村卫生所,ZBFJCWSS,DWI00024657
沂江乡廖家村卫生室(姚卫勇),YJXLJCWSS(YWY),DWI00024673
礼林新城村卫生所(程有生),LLXCCWSS(CYS),DWI00024680
礼林程畈村卫生所,LLCCWSS,DWI00024681
礼林白土峰卫生所,LLBTFWSS,DWI00024684
景德镇市珠山区石狮埠街道通津桥社区卫生服务站,JDZSZSQSSBJDTJQSQWSFWZ,DWI00024691
珠山张文金内科诊所,ZSZWJNKZS,DWI00024703
铁石口镇建华村第十四卫生所,TSKZJHCDSSWSS,DWI00024711
会昌县民生药房,HCXMSYF,DWI00024732
河北东圣医药有限公司,HBDSYYYXGS,DWI00024737
上饶县煌固镇谢良兴药店,SRXHGZXLXYD,DWI00024747
杨海方中西医结合诊所,YHFZXYJHZS,DWI00024748
铁石口镇建华村第二卫生所,TSKZJHCDEWSS,DWI00024749
渝水区解放东路永泰大药房,YSQJFDLYTDYF,DWI00024753
赣县惠佰大药房连锁有限公司韩坊第一分店,GXHBDYFLSYXGSHFDYFD,DWI00024758
大桥镇大田村第一卫生所,DQZDTCDYWSS,DWI00024767
鄱阳县德仁堂大药房,YXDRTDYF,DWI00024769
安远县中医院第二门诊部,AYXZYYDEMZB,DWI00024775
安远县欣山镇卫生院第四门诊,AYXXSZWSYDSMZ,DWI00024776
欣山镇濂江村卫生所,XSZJCWSS,DWI00024781
安远县欣山镇黄红春诊所,AYXXSZHHCZS,DWI00024783
安远县卫生培训学校门诊部,AYXWSPXXXMZB,DWI00024784
欣山镇修田村卫生所,XSZXTCWSS,DWI00024785
欣山镇濂江村卫生所一分所,XSZJCWSSYFS,DWI00024787
李兴荣诊所,LXRZS,DWI00024790
遂川县樟邦胡氏大药房东路分店,SCXZBHSDYFDLFD,DWI00024794
众埠村卫生所,ZBCWSS,DWI00024795
任家村卫生所程文兵诊室,RJCWSSCWBZS,DWI00024803
小康城卫生所八所,XKCWSSBS,DWI00024807
黄庄村卫生所,HZCWSS,DWI00024812
宁都县仁心大药房,NDXRXDYF,DWI00024815
欣山镇古田村(双香)卫生所,XSZGTC(SX)WSS,DWI00024817
大树李卫生所,DSLWSS,DWI00024831
宜春市袁州区彬江同心大药房,YCSYZQBJTXDYF,DWI00024834
西华村康俊兰卫生所,XHCKJLWSS,DWI00024853
修水县衙前大药房,XSXYQDYF,DWI00024860
江西创康大药房连锁有限公司赣东大道店,JXCKDYFLSYXGSGDDDD,DWI00024867
罗坊镇竹山村第一卫生所,LFZZSCDYWSS,DWI00024871
赣州市泰安堂大药房,GZSTATDYF,DWI00024874
信丰会好大药房,XFHHDYF,DWI00024879
上饶市信州区积寿堂药房,SRSXZQJSTYF,DWI00024880
鹰潭市月湖区庆余堂大药房,YTSYHQQYTDYF,DWI00024883
万载丁剑飞中医诊所,WZDJFZYZS,DWI00024891
文成县南田镇华丰药店,WCXNTZHFYD,DWI00024892
新溪村卫生所,XXCWSS,DWI00024894
宁化县社背村卫生所,NHXSBCWSS,DWI00024906
湖滨村卫生所段芳华诊室,HBCWSSDFHZS,DWI00024911
宁波市北仑区小港清尹药店,NBSBLQXGQYYD,DWI00025328
万安县百加镇健民药店,WAXBJZJMYD,DWI00025330
正平镇咀头村第一卫生所,ZPZJTCDYWSS,DWI00025338
宁都县梅江镇济民大药房(郑小伟),NDXMJZJMDYF(ZXW),DWI00025353
九江市民生大药房裕华店,JJSMSDYFYHD,DWI00025355
葛招娣卫生室,GZWSS,DWI00025358
万年县石镇诚杏药房,WNXSZCXYF,DWI00025359
南康本草平价大药房,NKBCPJDYF,DWI00025360
萍乡市莲花县闪石乡广益大药房,PXSLHXSSXGYDYF,DWI00025363
信丰县虎山卫生院,XFXHSWSY,DWI00025364
沙地华尔康大药房,SDHEKDYF,DWI00025365
罗坊镇彭家村第一卫生所,LFZPJCDYWSS,DWI00025367
贵溪市春天为民大药房,GXSCTWMDYF,DWI00025368
广丰县喜来乐大药房,GFXXLLDYF,DWI00025372
南丰县宝仁堂大药房,NFXBRTDYF,DWI00025374
胡森林诊所,HSLZS,DWI00025375
铅山县百姓康乐药店,QSXBXKLYD,DWI00025378
铅山县放心药店,QSXFXYD,DWI00025379
杭州顺源大药房,HZSYDYF,DWI00025381
杭州清和大药房,HZQHDYF,DWI00025382
杭州天泰大药房有限公司兴隆村分店,HZTTDYFYXGSXLCFD,DWI00025390
正平镇梨坑村卫生所,ZPZLKCWSS,DWI00025398
葛英辉卫生室,GYHWSS,DWI00025400
上饶县郑坊王忠河药店,SRXZFWZHYD,DWI00025401
鄱阳县古县渡镇为民药店,YXGXDZWMYD,DWI00025412
文山街道西苑社区卫生服务站,WSJDXYSQWSFWZ,DWI00025413
文成县伯温药房,WCXBWYF,DWI00025416
画水镇陆宅村民乐卫生室(陈娇娟),HSZLZCMLWSS(CJJ),DWI00025417
杭州余杭区乔司永桥西医内科诊所,HZYHQQSYQXYNKZS,DWI00025419
永丰县藤田人人大药房,YFXTTRRDYF,DWI00025420
抚州市临川区利群大药房,FZSLCQLQDYF,DWI00025421
杭州喜洋洋大药房,HZXYYDYF,DWI00025432
杭州嘉润临平供销社有限公司临峰大药房,HZJRLPGXSYXGSLFDYF,DWI00025433
罗坊镇罗家村委第七卫生所,LFZLJCWDQWSS,DWI00025440
金川镇文昌社区卫生服务站,JCZWCSQWSFWZ,DWI00025448
白路乡花园村卫生所,BLXHYCWSS,DWI00025457
宜黄县汇丰大药房,YHXHFDYF,DWI00025459
崇仁县黄家社区卫生服务站,CRXHJSQWSFWZ,DWI00025467
于都县梓山华康药房,YDXSHKYF,DWI00025473
会昌县祥和大药房,HCXXHDYF,DWI00025480
江西省景贾医药有限责任公司,JXSJJYYYXZRGS,DWI00025485
兴国县海林药房,XGXHLYF,DWI00025487
兴国县海林药房高兴店,XGXHLYFGXD,DWI00025489
兴国友邦大药房有限公司,XGYBDYFYXGS,DWI00025490
宜丰县新庄镇湾溪村卫生所,YFXXZZWXCWSS,DWI00025498
信丰县九渡永康大药房,XFXJDYKDYF,DWI00025499
上饶市信州区健源大药房,SRSXZQJYDYF,DWI00025503
小河镇长陵村第三卫生所,XHZCLCDSWSS,DWI00025505
信丰县安平大药房,XFXAPDYF,DWI00025507
铅山县河口镇民康药店,QSXHKZMKYD,DWI00025509
江西天酬药业有限公司,JXTCYYYXGS,DWI00025513
建山镇长安卫生所,JSZCAWSS,DWI00025514
江山市江北大药房,JSSJBDYF,DWI00025515
德安县朝阳平价大药房,DAXCYPJDYF,DWI00025518
井冈山市百草堂药房,JGSSBCTYF,DWI00025522
分宜县钤山东路九九大药房,FYXSDLJJDYF,DWI00025528
吉安市青原区春汇药房,JASQYQCHYF,DWI00025529
民和村卫生所诊疗点,MHCWSSZLD,DWI00025531
萍乡经济开发区美斯岭卫生所,PXJJKFQMSLWSS,DWI00025533
宁波市北仑区程功百姓药品零售有限公司红联大药房,NBSBLQCGBXYPLSYXGSHLDYF,DWI00025539
星子县星赣大药房,XZXXGDYF,DWI00025540
众埠桐坡村卫生所,ZBTPCWSS,DWI00025542
濠湖村卫生所吴金平诊室,HCWSSWJPZS,DWI00025546
兴国友邦大药房有限公司*,XGYBDYFYXGS*,DWI00025549
上饶市信州区铁路百草堂药房,SRSXZQTLBCTYF,DWI00025551
石城县福村村卫生室,SCXFCCWSS,DWI00025552
宁化县安福药店,NHXAFYD,DWI00025557
罗建国中医(肛肠)诊所,LJGZY(GC)ZS,DWI00025559
宁波市镇海龙成药店,NBSZHLCYD,DWI00025560
竞成镇三河(李美生)村卫生室,JCZSH(LMS)CWSS,DWI00025565
乐港龙塘村卫生所,LGLTCWSS,DWI00025568
廖昱诊所,LZS,DWI00025571
杭州启亚文化传播有限公司沈塘湾诊所,HZQYWHCBYXGSSTWZS,DWI00025576
杭州丹丹大药房,HZDDDYF,DWI00025577
九江市庐山区莲花人民平价大药房,JJSLSQLHRMPJDYF,DWI00025582
杭州金龙堂大药房,HZJLTDYF,DWI00025587
东上乡桥头村卫生所,DSXQTCWSS,DWI00025589
吉安县敦厚社区卫生服务中心,JAXDHSQWSFWZX,DWI00025596
济仁诊所,JRZS,DWI00025597
刘海东诊所,LHDZS,DWI00025600
杨咏梅诊所,YYMZS,DWI00025601
上清镇沙湾村卫生室邓玲爱医疗点,SQZSWCWSSDLAYLD,DWI00025602
余家乡庄源村卫生所(王加强),YJXZYCWSS(WJQ),DWI00025603
余家乡流桥村卫生所(雷长化),YJXLQCWSS(LCH),DWI00025606
余家乡孟青村白沙卫生室(李慧萍),YJXMQCBSWSS(LHP),DWI00025610
嘉定镇八一路诊所,JDZBYLZS,DWI00025611
余家乡滴水村莲塘卫生室(冯印金),YJXDSCLTWSS(FYJ),DWI00025612
余家乡余家村卫生所(王长星),YJXYJCWSS(WCX),DWI00025613
余家乡地质一队卫生室,YJXDZYDWSS,DWI00025615
余家乡坝上村汪家卫生室(蔡堂辉),YJXBSCWJWSS(CTH),DWI00025618
余家乡坂上村卫生所(许福良),YJXSCWSS(XFL),DWI00025620
余家乡罗湾村卫生所(张天富),YJXLWCWSS(ZTF),DWI00025622
塘桥村卫生所一分所,TQCWSSYFS,DWI00025624
江山市南苑大药房,JSSNYDYF,DWI00025626
杭州高沙药店二分店,HZGSYDEFD,DWI00025628
沙溪镇胜利祝平波社区卫生服务站,SXZSLZPBSQWSFWZ,DWI00025639
杭州彤彤大药房有限公司胡桥分公司,HZTTDYFYXGSHQFGS,DWI00025640
正平镇芫庙村第三卫生所,ZPZMCDSWSS,DWI00025646
小河镇大江村卫生所,XHZDJCWSS,DWI00025648
渝水区站前西路春天大药房,YSQZQXLCTDYF,DWI00025649
宁波市镇海区知心大药房,NBSZHQZXDYF,DWI00025682
荷花乡卫生院,HHXWSY,DWI00025691
宁波市北仑区柴桥天一堂大药房,NBSBLQCQTYTDYF,DWI00025711
宁波市北仑区华源健康药房美好家园分店,NBSBLQHYJKYFMHJYFD,DWI00025712
江西省新余市医药总公司新庆余堂连锁药店环青分店,JXSXYSYYZGSXQYTLSYDHQFD,DWI00025719
上饶市信州区晨心药房,SRSXZQCXYF,DWI00025723
于都县中联大药房,YDXZLDYF,DWI00025724
潭口镇金牛平价大药房,TKZJNPJDYF,DWI00025725
沙溪镇青岩村卫生室二室,SXZQYCWSSES,DWI00025729
安福县杏林药店,AFXXLYD,DWI00025732
德安县车桥镇长庆村卫生所,DAXCQZCQCWSS,DWI00025736
德安县磨溪乡曙光村卫生所,DAXMXXSGCWSS,DWI00025737
安福县寮塘济生堂药店,AFXTJSTYD,DWI00025740
贡江镇农业村卫生所上屋医疗点(刘辉),GJZNYCWSSSWYLD(LH),DWI00025744
于都县金生号药店,YDXJSHYD,DWI00025746
上饶市信州区沙溪康乐药二店,SRSXZQSXKLYED,DWI00025748
永新县济民药房,YXXJMYF,DWI00025753
黄土岗镇墨庄村卫生所,HTGZMZCWSS,DWI00025754
兴国县康仁大药房兴莲店,XGXKRDYFXLD,DWI00025757
江西和济春天医药有限公司,JXHJCTYYYXGS,DWI00025758
贵溪市春天平价大药房,GXSCTPJDYF,DWI00025762
分宜县天工大道九九红大药房,FYXTGDDJJHDYF,DWI00025766
新赣药大药房,XGYDYF,DWI00025767
安福县李庆良诊所,AFXLQLZS,DWI00025768
乐平市双田民心药店,LPSSTMXYD,DWI00025770
新余市仁武大药房*,XYSRWDYF*,DWI00025779
沙溪镇后王村卫生室,SXZHWCWSS,DWI00025781
宜黄县棠阴镇硖石村卫生所,YHXTYZSCWSS,DWI00025783
宜黄县棠阴镇大岚村卫生所,YHXTYZDCWSS,DWI00025784
袁州区得民平价大药房,YZQDMPJDYF,DWI00025793
莲花县千方百剂大药房,LHXQFBJDYF,DWI00025794
宁波市北仑区程功百姓药品零售有限公司衙前大药房,NBSBLQCGBXYPLSYXGSYQDYF,DWI00025795
石人乡青山村陈进兴(达标)卫生所,SRXQSCCJX(DB)WSS,DWI00025798
杭州再兴大药房,HZZXDYF,DWI00025803
杭州广旺大药房有限公司,HZGWDYFYXGS,DWI00025804
城南四眼井社区卫生服务站,CNSYJSQWSFWZ,DWI00025807
渝水区站前东路日夜大药房,YSQZQDLRYDYF,DWI00025808
小河镇塘背村第三卫生所,XHZTBCDSWSS,DWI00025810
宜黄县济生堂大药房,YHXJSTDYF,DWI00025812
丰城市大德药房曲江店,FCSDDYFQJD,DWI00025815
赣县明冬医药有限公司,GXMDYYYXGS,DWI00025816
于都同仁大药房,YDTRDYF,DWI00025817
大余县老百姓大药房,DYXLBXDYF,DWI00025818
遂川县五斗江乡天天好药店,SCXWDJXTTHYD,DWI00025821
马圩镇桂塘村卫生所,MZGTCWSS,DWI00025822
马圩镇里坊村卫生所,MZLFCWSS,DWI00025823
马圩镇新溪村卫生所,MZXXCWSS,DWI00025824
宁都县仁民平价药房,NDXRMPJYF,DWI00025832
宁波市镇海湾塘大药房,NBSZHWTDYF,DWI00025841
宁波市江北慈城健康大药房骆驼店,NBSJBCCJKDYFLTD,DWI00025843
于都县楂林医院,YDXLYY,DWI00025844
宁波市镇海胜利药店北仑区快乐药房,NBSZHSLYDBLQKLYF,DWI00025845
石城县屏山镇益康堂药店,SCXPSZYKTYD,DWI00025848
铅山县十全堂大药房,QSXSQTDYF,DWI00025849
分宜黄悠中医诊所,FYHYZYZS,DWI00025851
玉山县鑫隆堂大药房日景店,YSXLTDYFRJD,DWI00025854
乐平市宝仁大药房,LPSBRDYF,DWI00025857
乐平市乐港镇回春药栈,LPSLGZHCYZ,DWI00025858
宁波市镇海天天好大药房,NBSZHTTHDYF,DWI00025861
宁波市镇海天天好大药房贵驷店,NBSZHTTHDYFGD,DWI00025862
宁波市镇海天天好大药房江北华业店,NBSZHTTHDYFJBHYD,DWI00025863
宁波市镇海天天好大药房蟹浦店,NBSZHTTHDYFXPD,DWI00025864
宁波市镇海天天好大药房庄市店,NBSZHTTHDYFZSD,DWI00025865
占圩镇东观村卫生所,ZZDGCWSS,DWI00025873
上犹县营前镇蛛岭诊所,SYXYQZZLZS,DWI00025876
白杨村卫生所汪洋诊室,BYCWSSWYZS,DWI00025878
白露街办白露许能进诊所,BLJBBLXNJZS,DWI00025879
宜丰县好医生大药房,YFXHYSDYF,DWI00025880
宁波市江北慈城健康大药房俞范店,NBSJBCCJKDYFYFD,DWI00025881
宁波市江北慈城健康大药房,NBSJBCCJKDYF,DWI00025882
宁波市镇海嘉事堂大药房,NBSZHJSTDYF,DWI00025883
慈溪市三北人人好药店,CXSSBRRHYD,DWI00025884
丰城市拖船为民药店,FCSTCWMYD,DWI00025892
宁波市镇海济生堂平民大药房(停用),NBSZHJSTPMDYF(TY),DWI00025895
宁波市镇海人人好大药房,NBSZHRRHDYF,DWI00025898
赣州康心大药房,GZKXDYF,DWI00025900
赣县惠佰大药房连锁有限公司阳埠分店,GXHBDYFLSYXGSYBFD,DWI00025904
九江市德兴堂药房月亮湾店,JJSDXTYFYLWD,DWI00025906
渝水刘连道中医诊所,YSLLDZYZS,DWI00025909
南康市龙岭卫生院,NKSLLWSY,DWI00025914
南康市三江乡卫生院,NKSSJXWSY,DWI00025915
宜春市袁州区彬江平价大药房,YCSYZQBJPJDYF,DWI00025917
赣县惠佰大药房连锁有限公司,GXHBDYFLSYXGS,DWI00025920
光荣村卫生所,GRCWSS,DWI00025922
民主村卫生所,MZCWSS,DWI00025923
浔阳区开心人大药房塔岭店,YQKXRDYFTLD,DWI00025925
浔阳区开心人大药房大树店,YQKXRDYFDSD,DWI00025926
江西凯天医药有限公司,JXKTYYYXGS,DWI00025931
南城县永康大药房,NCXYKDYF,DWI00025945
湖南南方医药有限公司,HNNFYYYXGS,DWI00025947
广昌县盱江镇苦竹村卫生所,GCXJZKZCWSS,DWI00025948
余江县济民平价药店,YJXJMPJYD,DWI00025952
大塘埠镇围下村第二卫生所,DTBZWXCDEWSS,DWI00025970
杭州双林大药房,HZSLDYF,DWI00025980
赣县惠佰大药房连锁有限公司小坌分店,GXHBDYFLSYXGSXFD,DWI00025982
江西大药谷医药有限公司(张晓涛),JXDYGYYYXGS(ZXT),DWI00025985
黄壁村卫生所,HBCWSS,DWI00025986
书院村卫生所一分所,SYCWSSYFS,DWI00025987
代屋村第一卫生所,DWCDYWSS,DWI00025990
峨门村卫生所,EMCWSS,DWI00025992
万年县梓埠镇联合村卫生所李德武诊室,WNXBZLHCWSSLDWZS,DWI00025997
觉溪村卫生所(胡桂生),JXCWSS(HGS),DWI00026006
弋阳县仁济堂大药房,YXRJTDYF,DWI00026026
铁石口镇建华村第九卫生所(王玉荣),TSKZJHCDJWSS(WYR),DWI00026035
九江市庐山区人民平价大药房,JJSLSQRMPJDYF,DWI00026036
杭州经济技术开发区兴禾妇科诊所,HZJJJSKFQXHFKZS,DWI00026049
大塘埠镇围下村第一卫生所,DTBZWXCDYWSS,DWI00026050
赣州市联邦大药房,GZSLBDYF,DWI00026051
